L_rlu,Qz_A_inv,bandwidth_sigma_fraction,I_HT_raw_p_0p01,I_HT_bandwidth_avg_p_0p01,I_HT_raw_p_0p001,I_HT_bandwidth_avg_p_0p001,I_HT_raw_p_0p0001,I_HT_bandwidth_avg_p_0p0001,I_HT_raw_p_0p0,I_HT_bandwidth_avg_p_0p0
0.112,0.0245745479258316,0.006999999999999999,5821151724105619.0,5725268030046960.0,5821151724105619.0,5725268030046960.0,5821151724105619.0,5725268030046960.0,5821151724105619.0,5725268030046960.0
0.113,0.02479396353231224,0.006999999999999999,5019315490322190.0,4951082998760256.0,5019315490322190.0,4951082998760256.0,5019315490322190.0,4951082998760256.0,5019315490322190.0,4951082998760256.0
0.114,0.02501337913879288,0.006999999999999999,4065884092799498.5,4031743662649427.0,4065884092799498.5,4031743662649427.0,4065884092799498.5,4031743662649427.0,4065884092799498.5,4031743662649427.0
0.115,0.02523279474527352,0.006999999999999999,3052375745080584.0,3055403643261406.5,3052375745080584.0,3055403643261406.5,3052375745080584.0,3055403643261406.5,3052375745080584.0,3055403643261406.5
0.116,0.02545221035175416,0.006999999999999999,2073044317779185.5,2112705844078552.2,2073044317779185.5,2112705844078552.2,2073044317779185.5,2112705844078552.2,2073044317779185.5,2112705844078552.2
0.117,0.025671625958234797,0.006999999999999999,1215782288185957.2,1287962322700550.5,1215782288185957.2,1287962322700550.5,1215782288185957.2,1287962322700550.5,1215782288185957.2,1287962322700550.5
0.11800000000000001,0.025891041564715438,0.006999999999999999,553938554238620.8,651383005070355.1,553938554238620.8,651383005070355.1,553938554238620.8,651383005070355.1,553938554238620.8,651383005070355.1
0.11900000000000001,0.026110457171196078,0.006999999999999999,139797088283941.22,252844724495479.03,139797088283941.22,252844724495479.03,139797088283941.22,252844724495479.03,139797088283941.22,252844724495479.03
0.12,0.026329872777676715,0.006999999999999999,280324689633.6393,117847983816525.3,280324689633.6393,117847983816525.3,280324689633.6393,117847983816525.3,280324689633.6393,117847983816525.3
0.121,0.026549288384157353,0.006999999999999999,135211828902875.23,245838282834391.8,135211828902875.23,245838282834391.8,135211828902875.23,245838282834391.8,135211828902875.23,245838282834391.8
0.122,0.026768703990637993,0.006999999999999999,518219322438253.1,611198229210986.9,518219322438253.1,611198229210986.9,518219322438253.1,611198229210986.9,518219322438253.1,611198229210986.9
0.123,0.026988119597118634,0.006999999999999999,1100106205248646.9,1166524462232150.2,1100106205248646.9,1166524462232150.2,1100106205248646.9,1166524462232150.2,1100106205248646.9,1166524462232150.2
0.124,0.02720753520359927,0.006999999999999999,1814291157733627.0,1847884454688310.0,1814291157733627.0,1847884454688310.0,1814291157733627.0,1847884454688310.0,1814291157733627.0,1847884454688310.0
0.125,0.02742695081007991,0.006999999999999999,2583732009725983.5,2581476070884346.5,2583732009725983.5,2581476070884346.5,2583732009725983.5,2581476070884346.5,2583732009725983.5,2581476070884346.5
0.126,0.027646366416560552,0.006999999999999999,3328627722694871.5,3291010122899517.5,3328627722694871.5,3291010122899517.5,3328627722694871.5,3291010122899517.5,3328627722694871.5,3291010122899517.5
0.127,0.02786578202304119,0.006999999999999999,3974140690915533.5,3905086265897263.5,3974140690915533.5,3905086265897263.5,3974140690915533.5,3905086265897263.5,3974140690915533.5,3905086265897263.5
